paper_id,conference,year,citation,num_modules,num_files,num_root_files,total_lines,contain_docker,contain_data,num_lang,main_language,num_duplicates,has_shell,num_lists,code_blocks,code_elements,contain_project_page,contain_trained_model,dynamic_images,images,tables,has_video,github_links,framework,from_organization,has_license,stars
1110,CVPR,2016,90,5,464,6,91450,1,1,5,c/c++,3,1,6,8,0,1,1,0,0,0,0,3,tensorflow,personal,0,38
1111,CVPR,2016,84,7,3257,2,237291,0,1,4,matlab,714,1,6,1,0,0,1,0,0,0,0,0,matlab,personal,1,32
1112,CVPR,2016,232,7,366,5,81243,0,0,4,c/c++,5,1,5,0,24,0,0,0,0,0,1,1,matlab,organization,1,33
1113,CVPR,2016,119,5,338,1,83842,0,1,5,c/c++,3,1,3,4,0,0,1,0,2,0,0,1,caffe,personal,0,34
1114,CVPR,2016,176,1,5,6,357,0,0,1,matlab,0,0,1,0,0,0,0,0,1,0,0,0,matlab,personal,1,44
1115,CVPR,2016,94,3,4,2,163,0,1,1,matlab,0,0,1,0,0,0,1,0,0,0,0,0,matlab,personal,1,30
1116,CVPR,2016,100,9,406,7,85356,0,1,5,c/c++,14,1,0,3,0,1,0,0,0,0,0,0,caffe,personal,0,29
1117,CVPR,2016,42,5,49,12,6190,0,0,3,matlab,6,0,0,0,0,0,0,0,0,0,0,0,matlab,personal,0,27
1118,CVPR,2016,44,1,9,13,8417,0,0,2,python,0,0,10,0,7,0,0,0,2,0,0,3,Unknown,personal,0,27
1119,CVPR,2016,39,2,2,4,227,0,0,1,matlab,4,0,5,0,0,0,0,0,0,0,0,0,Unknown,personal,0,26
1120,CVPR,2016,66,7,42,4,4450,0,1,3,matlab,6,1,0,0,0,0,0,0,0,0,0,0,Unknown,personal,0,21
1121,CVPR,2016,21,2,47,3,4225,0,0,2,matlab,1,0,1,2,0,1,0,0,0,0,0,0,caffe,personal,1,22
1122,CVPR,2016,45,10,86,1,5574,0,1,1,matlab,21,0,9,3,16,1,1,0,0,0,0,4,matlab,personal,0,20
1123,CVPR,2016,10,3,536,1,71684,0,1,4,matlab,71,1,6,0,0,1,0,0,0,0,0,0,matlab,personal,1,19
1124,CVPR,2016,13,1,7,2,279,0,1,1,matlab,0,0,0,0,0,0,0,0,0,0,0,0,matlab,personal,0,18
1125,CVPR,2016,55,4,558,7,66666,0,1,4,matlab,14,1,1,0,0,0,0,0,0,0,0,0,Unknown,personal,0,19
1126,CVPR,2016,38,4,299,19,42763,0,1,6,matlab,124,1,2,0,0,0,1,0,0,0,0,1,Unknown,personal,0,16
1128,CVPR,2016,111,3,8,2,275,0,1,2,matlab,2,1,3,1,0,1,1,0,0,0,0,0,caffe,personal,1,15
1129,CVPR,2016,213,2,39,0,2750,0,0,2,matlab,55,0,0,0,0,0,0,0,0,0,0,0,Unknown,personal,0,11
1130,CVPR,2016,37,15,146,4,15016,0,1,4,matlab,23,1,6,16,62,0,0,0,2,0,1,2,matlab,personal,0,10
